Model,Variant,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Statistical Parity Diff,Equal Opportunity Diff,Avg Abs Odds Diff,Disparate Impact,Theil Index,Counterfactual Flip Rate,CFB Score
Logistic Regression,Baseline,0.7694,0.5255,0.7644,0.6227,0.8523,0.3535,0.3829,0.3094,3.8738,1.016,0.2192,0.7808
Logistic Regression,Reweighting,0.7491,0.4973,0.7207,0.5885,0.8311,0.0898,-0.0101,0.0189,1.3002,1.0195,0.019,0.981
Logistic Regression,Adversarial Debiasing,0.8074,0.684,0.4205,0.5208,0.8523,0.0755,0.0366,0.0261,1.7435,1.8772,0.2192,0.7808
Logistic Regression,Fairness Constraint,0.7746,0.5456,0.5694,0.5564,0.8523,-0.0092,-0.0689,0.085,0.9692,1.3505,0.2192,0.7808
Random Forest,Baseline,0.8022,0.5672,0.8677,0.686,0.9131,0.3584,0.1529,0.2039,3.5874,0.9654,0.0542,0.9458
Random Forest,Reweighting,0.8165,0.5922,0.8461,0.6967,0.9102,0.2544,0.0322,0.0923,2.3829,1.0336,0.0267,0.9733
Random Forest,Adversarial Debiasing,0.84,0.6904,0.6879,0.6801,0.9131,0.0945,-0.1523,0.081,1.5282,1.3997,0.0542,0.9458
Random Forest,Fairness Constraint,0.8339,0.7072,0.5682,0.6298,0.9131,-0.0092,-0.3354,0.2043,0.9569,1.6102,0.0542,0.9458
Decision Tree,Baseline,0.7925,0.5534,0.8645,0.6747,0.8958,0.3489,0.1538,0.2004,3.3018,0.9444,0.0078,0.9922
Decision Tree,Reweighting,0.7884,0.5491,0.8462,0.6658,0.8838,0.2483,0.0164,0.0952,2.1565,0.9582,0.0054,0.9946
Decision Tree,Adversarial Debiasing,0.8271,0.6737,0.6504,0.6516,0.8958,0.0903,-0.1388,0.0763,1.5023,1.4278,0.0078,0.9922
Decision Tree,Fairness Constraint,0.828,0.6821,0.5824,0.6278,0.8958,-0.0063,-0.3011,0.1886,0.9713,1.5484,0.0078,0.9922
SVM,Baseline,0.7937,0.5555,0.8594,0.6747,0.8963,0.3495,0.1585,0.2028,3.3446,0.9541,0.0739,0.9261
SVM,Reweighting,0.8039,0.5742,0.8234,0.6765,0.8926,0.2181,-0.0069,0.0695,2.0411,1.03,0.0369,0.9631
SVM,Adversarial Debiasing,0.797,0.8778,0.2299,0.3429,0.8963,0.033,-0.0833,0.0437,1.9086,2.8531,0.0739,0.9261
SVM,Fairness Constraint,0.7934,0.8649,0.2025,0.3272,0.8963,-0.0047,-0.2422,0.1265,0.9392,2.8478,0.0739,0.9261
Naive Bayes,Baseline,0.7989,0.6925,0.3459,0.4613,0.8518,0.0962,0.044,0.0423,2.6356,2.0851,0.0213,0.9787
Naive Bayes,Reweighting,0.7929,0.684,0.3125,0.4289,0.8575,0.0681,-0.0079,0.0248,2.025,2.1741,0.0,1.0
Naive Bayes,Adversarial Debiasing,0.7949,0.6981,0.3107,0.43,0.8518,0.07,-0.0017,0.0269,2.1224,2.2,0.0213,0.9787
Naive Bayes,Fairness Constraint,0.7948,0.698,0.3102,0.4294,0.8518,0.0697,-0.0023,0.0266,2.1178,2.2016,0.0213,0.9787
XGBoost,Baseline,0.87,0.7799,0.6659,0.7184,0.9263,0.1842,0.0845,0.0738,3.0935,1.5485,0.039,0.961
XGBoost,Reweighting,0.8638,0.7867,0.6215,0.6943,0.9219,0.108,-0.1201,0.0673,1.8736,1.6263,0.0099,0.9901
XGBoost,Adversarial Debiasing,0.8558,0.8665,0.5037,0.6322,0.9263,0.0822,-0.1225,0.0638,1.9913,1.9408,0.039,0.961
XGBoost,Fairness Constraint,0.8422,0.8289,0.4626,0.5926,0.9263,0.0001,-0.3443,0.195,1.0029,1.9761,0.039,0.961
